alpha,beta,mae
1.0,0.0,44.01626733309044
1.0,0.5,35.32276865413068
1.0,1.0,27.77155545942505
1.0,1.5,22.433019983054
1.0,2.0,19.017171150297468
1.0,2.5,16.922417578823087
1.0,3.0,16.14993676296313
1.0,3.5,16.423045140288952
1.0,4.0,17.005468217531046
1.0,4.5,17.530136772207772
1.0,5.0,17.93325808860556
1.0,5.5,18.197990498594333
1.5,0.0,44.684171307131415
1.5,0.5,35.90755044750944
1.5,1.0,28.36584384879765
1.5,1.5,22.81571662859347
1.5,2.0,19.13122281111554
1.5,2.5,16.78246004747704
1.5,3.0,15.883378121251388
1.5,3.5,16.03167960409354
1.5,4.0,16.700009090185866
1.5,4.5,17.33063372695783
1.5,5.0,17.806661663673278
1.5,5.5,18.119883678216777
2.0,0.0,45.25777153408217
2.0,0.5,36.42646863076044
2.0,1.0,28.923633013360384
2.0,1.5,23.26793940605203
2.0,2.0,19.329535457916954
2.0,2.5,16.883359497833197
2.0,3.0,15.667170444679984
2.0,3.5,15.67879620181327
2.0,4.0,16.264082794547328
2.0,4.5,17.0351683317213
2.0,5.0,17.615951743451156
2.0,5.5,18.000659599255815
2.5,0.0,45.74864029748184
2.5,0.5,36.93105124150409
2.5,1.0,29.423463979102316
2.5,1.5,23.731263457978606
2.5,2.0,19.63393060240416
2.5,2.5,16.996462930936282
2.5,3.0,15.689395671277982
2.5,3.5,15.446029643416523
2.5,4.0,15.797828434261865
2.5,4.5,16.605774813097717
2.5,5.0,17.329583462227017
2.5,5.5,17.817264215967732
3.0,0.0,46.171956381729814
3.0,0.5,37.42989370477406
3.0,1.0,29.866541096081047
3.0,1.5,24.182202593880596
3.0,2.0,20.021234058711006
3.0,2.5,17.220442262835647
3.0,3.0,15.754320976447328
3.0,3.5,15.394350849236027
3.0,4.0,15.574944963864745
3.0,4.5,16.09484610782263
3.0,5.0,16.911578500933818
3.0,5.5,17.538505922585983
3.5,0.0,46.54125656094382
3.5,0.5,37.86953410663615
3.5,1.0,30.262026215027788
3.5,1.5,24.584475268144907
3.5,2.0,20.37581958552328
3.5,2.5,17.443131046509013
3.5,3.0,15.850132063077607
3.5,3.5,15.436572492423625
3.5,4.0,15.489924831073472
3.5,4.5,15.832756486453528
3.5,5.0,16.36960199073186
3.5,5.5,17.131192051158415
4.0,0.0,46.86721379189903
4.0,0.5,38.261074421291056
4.0,1.0,30.625366324185237
4.0,1.5,24.94679043269125
4.0,2.0,20.700494692702257
4.0,2.5,17.76348455836715
4.0,3.0,16.00907541869292
4.0,3.5,15.483972410881497
4.0,4.0,15.445567460021154
4.0,4.5,15.745846615059174
4.0,5.0,16.10661067275871
4.0,5.5,16.591098286118527
4.5,0.0,47.1579335067184
4.5,0.5,38.613198125733135
4.5,1.0,31.032739461612604
4.5,1.5,25.277653500071775
4.5,2.0,21.000829743210684
4.5,2.5,18.05951005917664
4.5,3.0,16.14416012514989
4.5,3.5,15.579630232901458
4.5,4.0,15.439647038330413
4.5,4.5,15.666450877243909
4.5,5.0,16.00153591336545
4.5,5.5,16.376791432533285
5.0,0.0,47.41956594854895
5.0,0.5,38.932496219023975
5.0,1.0,31.40425286624309
5.0,1.5,25.58334423619517
5.0,2.0,21.305737453707223
5.0,2.5,18.33683706032344
5.0,3.0,16.382683508770715
5.0,3.5,15.668016619971148
5.0,4.0,15.454627214251676
5.0,4.5,15.654533221355749
5.0,5.0,15.907175694183723
5.0,5.5,16.21073482143687
5.5,0.0,47.65684462600752
5.5,0.5,39.22400913338673
5.5,1.0,31.745175342542208
5.5,1.5,25.86798739335166
5.5,2.0,21.600142495119822
5.5,2.5,18.599967596097702
5.5,3.0,16.62421180890863
5.5,3.5,15.734579044398604
5.5,4.0,15.50893792348583
5.5,4.5,15.636241952889893
5.5,5.0,15.862251003994784
5.5,5.5,16.124962968624345
6.0,0.0,47.87348121692028
6.0,0.5,39.491678917283664
6.0,1.0,32.059585483929524
6.0,1.5,26.1473100035027
6.0,2.0,21.878162455559078
6.0,2.5,18.85159749639311
6.0,3.0,16.86022208522307
6.0,3.5,15.898383527219162
6.0,4.0,15.546711217196354
6.0,4.5,15.627986786505586
6.0,5.0,15.838748202490645
6.0,5.5,16.056697707208976
6.5,0.0,48.07243934339393
6.5,0.5,39.73866688555111
6.5,1.0,32.35074384943242
6.5,1.5,26.45377026048588
6.5,2.0,22.141538832223095
6.5,2.5,19.092883778959475
6.5,3.0,17.0900293725614
6.5,3.5,16.064396949353917
6.5,4.0,15.596671151693903
6.5,4.5,15.646102767476991
6.5,5.0,15.806646285725504
6.5,5.5,15.999515784366944
7.0,0.0,48.25612292511862
7.0,0.5,39.96756455815172
7.0,1.0,32.62133972089261
7.0,1.5,26.738295323468577
7.0,2.0,22.39122222913594
7.0,2.5,19.32399870564755
7.0,3.0,17.3174614152313
7.0,3.5,16.23173962080737
7.0,4.0,15.738871997747525
7.0,4.5,15.659866420627674
7.0,5.0,15.787882350526969
7.0,5.5,15.968471106390778
7.5,0.0,48.42650768338009
7.5,0.5,40.1805332345134
7.5,1.0,32.873644711620805
7.5,1.5,27.003049892452125
7.5,2.0,22.62783026307847
7.5,2.5,19.544662978655847
7.5,3.0,17.538543765142133
7.5,3.5,16.404978513492612
7.5,4.0,15.873854334603397
7.5,4.5,15.684109815948597
7.5,5.0,15.7718079203913
7.5,5.5,15.931924129816624
